time,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_memory,full_law_mean_memory,baseline_global_psi,full_law_global_psi,full_law_concentration,full_law_stressed_memory
0.000000,0.013992,0.018866,0.005921,0.005921,0.995247,0.995247,0.139287,0.004536
0.100000,0.110128,0.146614,0.425221,0.424001,0.996773,0.996773,0.083353,0.422954
0.200000,0.172270,0.177686,0.430569,0.387566,0.997703,0.997699,0.083348,0.386596
0.300000,0.253729,0.232011,0.378579,0.333421,0.998265,0.998258,0.083349,0.332576
0.400000,0.310327,0.267214,0.330364,0.290673,0.998644,0.998635,0.083348,0.289679
0.500000,0.377574,0.320194,0.284545,0.249557,0.998917,0.998908,0.083348,0.248724
0.600000,0.423287,0.355639,0.244962,0.215444,0.999109,0.999103,0.083348,0.214275
0.700000,0.476433,0.405072,0.210305,0.185045,0.999269,0.999265,0.083349,0.184047
0.800000,0.513946,0.440741,0.180961,0.159746,0.999376,0.999374,0.083349,0.158617
0.900000,0.557687,0.488250,0.155491,0.137492,0.999469,0.999468,0.083350,0.136520
1.000000,0.589563,0.524440,0.134019,0.118920,0.999537,0.999537,0.083350,0.117943
1.100000,0.626710,0.570626,0.115395,0.102631,0.999594,0.999595,0.083350,0.101788
1.200000,0.654354,0.607017,0.099685,0.088983,0.999640,0.999642,0.083350,0.088190
1.300000,0.686009,0.651231,0.086144,0.077114,0.999679,0.999680,0.083350,0.076430
1.400000,0.709460,0.686365,0.074807,0.067237,0.999711,0.999713,0.083350,0.066605
1.500000,0.736035,0.727491,0.065076,0.058696,0.999738,0.999740,0.083349,0.058150
1.600000,0.756136,0.760950,0.056881,0.051534,0.999761,0.999763,0.083349,0.051039
1.700000,0.779249,0.799574,0.049816,0.045314,0.999781,0.999782,0.083348,0.044886
1.800000,0.796914,0.831396,0.043792,0.040022,0.999798,0.999800,0.083348,0.039642
1.900000,0.817962,0.868310,0.038533,0.035361,0.999812,0.999814,0.083347,0.035033
2.000000,0.799387,0.857294,0.078613,0.075916,0.999810,0.999812,0.083335,0.075633
2.100000,0.788809,0.849380,0.088814,0.086517,0.999813,0.999815,0.083335,0.086278
2.200000,0.784984,0.847302,0.091947,0.089991,0.999813,0.999816,0.083334,0.089793
2.300000,0.786860,0.850850,0.090785,0.089119,0.999811,0.999813,0.083334,0.088957
2.400000,0.793658,0.859790,0.087994,0.086575,0.999806,0.999806,0.083334,0.086442
2.500000,0.803979,0.872934,0.083477,0.082268,0.999797,0.999797,0.083334,0.082162
2.600000,0.817418,0.890124,0.077048,0.076018,0.999787,0.999785,0.083334,0.075932
2.700000,0.833455,0.911158,0.070295,0.069419,0.999776,0.999774,0.083334,0.069347
2.800000,0.851013,0.934997,0.063950,0.063203,0.999765,0.999762,0.083334,0.063144
2.900000,0.870100,0.961553,0.056933,0.056297,0.999753,0.999750,0.083334,0.056246
3.000000,0.890050,0.990271,0.050542,0.050000,0.999744,0.999741,0.083334,0.049957
3.100000,0.910644,1.020767,0.044656,0.044195,0.999734,0.999731,0.083334,0.044158
3.200000,0.931333,1.052332,0.039477,0.039085,0.999725,0.999723,0.083334,0.039052
3.300000,0.951454,1.084018,0.035020,0.034687,0.999716,0.999713,0.083334,0.034657
3.400000,0.971312,1.115982,0.030703,0.030420,0.999704,0.999701,0.083334,0.030390
3.500000,0.990893,1.148171,0.026734,0.026494,0.999694,0.999691,0.083334,0.026464
3.600000,1.010284,1.180588,0.023254,0.023051,0.999684,0.999681,0.083334,0.023021
3.700000,1.028804,1.212291,0.020248,0.020075,0.999674,0.999671,0.083334,0.020046
3.800000,1.046787,1.243536,0.017489,0.017342,0.999663,0.999660,0.083334,0.017313
3.900000,1.063629,1.273526,0.015200,0.015076,0.999652,0.999649,0.083335,0.015047
4.000000,1.080207,1.303177,0.013275,0.013169,0.999639,0.999637,0.083335,0.013142
4.100000,1.095776,1.331492,0.011488,0.011398,0.999627,0.999624,0.083336,0.011373
4.200000,1.110244,1.358327,0.009937,0.009861,0.999614,0.999611,0.083337,0.009836
4.300000,1.123600,1.383604,0.008591,0.008526,0.999600,0.999598,0.083339,0.008502
4.400000,1.135835,1.407257,0.007428,0.007373,0.999587,0.999584,0.083341,0.007348
4.500000,1.146601,1.428809,0.006460,0.006414,0.999572,0.999569,0.083345,0.006389
4.600000,1.155755,1.448024,0.005636,0.005597,0.999557,0.999555,0.083350,0.005572
4.700000,1.163519,1.465160,0.004917,0.004886,0.999542,0.999539,0.083358,0.004860
4.800000,1.171779,1.482612,0.004292,0.004266,0.999527,0.999524,0.083367,0.004241
4.900000,1.179702,1.499292,0.003711,0.003688,0.999512,0.999509,0.083381,0.003663
5.000000,1.186172,1.513800,0.003238,0.003219,0.999496,0.999493,0.083399,0.003194
5.100000,1.191160,1.526080,0.002840,0.002824,0.999480,0.999477,0.083424,0.002800
5.200000,1.196295,1.538210,0.002480,0.002466,0.999464,0.999461,0.083458,0.002442
5.300000,1.200719,1.549103,0.002156,0.002144,0.999448,0.999445,0.083506,0.002120
5.400000,1.204920,1.559381,0.001889,0.001879,0.999432,0.999428,0.083565,0.001856
5.500000,1.208531,1.568582,0.001641,0.001632,0.999415,0.999412,0.083651,0.001611
5.600000,1.211494,1.576656,0.001429,0.001421,0.999398,0.999394,0.083768,0.001402
5.700000,1.213650,1.583423,0.001250,0.001243,0.999381,0.999377,0.083925,0.001225
5.800000,1.215386,1.589356,0.001111,0.001105,0.999364,0.999360,0.084110,0.001089
5.900000,1.216320,1.594024,0.000987,0.000982,0.999347,0.999343,0.084356,0.000967
6.000000,1.216819,1.597875,0.000871,0.000867,0.999330,0.999326,0.084699,0.000853
